FlareID_1,Start_Time_1,Peak_Time_1,End_Time_1,hgs_lon_1,hgs_lat_1,hgc_lon_1,hgc_lat_1,goes_class_1,FlareID_2,Start_Time_2,Peak_Time_2,End_Time_2,hgs_lon_2,hgs_lat_2,hgc_lon_2,hgc_lat_2,goes_class_2,solo_position_lon,solo_position_lat,solo_position_AU_distance
2302082245,2023-02-08 22:43:05.019,2023-02-08 22:45:01.019,2023-02-08 22:52:01.020,-74.96935127023443,-8.32742591623905,137.1459229096363,-8.32742591623905,C7.1,2302082312,2023-02-08 23:05:09.021,2023-02-08 23:12:17.022,2023-02-08 23:50:25.026,-95.37629618207173,-13.334620977205558,116.48964859477375,-13.334620977205558,C6.8,-31.55607257024343,-0.1229399390018727,0.8789933489486412
2302090716,2023-02-09 07:11:19.772,2023-02-09 07:16:47.773,2023-02-09 07:35:51.775,-68.61800208701231,-11.490798404482929,138.8175094151845,-11.490798404482923,M1.1,2302090813,2023-02-09 08:10:51.678,2023-02-09 08:13:31.679,2023-02-09 08:17:59.679,-85.5777859875273,-18.54520256176601,121.33896359580258,-18.54520256176601,C4.0,-31.619988899254224,-0.167653949776266,0.8770252936574164
2302102127,2023-02-10 21:26:07.814,2023-02-10 21:27:51.814,2023-02-10 21:35:11.815,-47.26593163671549,-11.395948125924734,139.21967380640058,-11.395948125924733,C2.6,2302102238,2023-02-10 22:33:35.821,2023-02-10 22:38:07.821,2023-02-10 23:13:15.825,-63.80221949447298,-18.172242959346907,122.04085074017075,-18.172242959346907,M1.3,-31.875489646225788,-0.3602858076023645,0.8683469232681266
2302110919,2023-02-11 09:16:19.688,2023-02-11 09:19:31.689,2023-02-11 09:41:19.691,-42.07989413647368,-11.281173370635926,137.89807986608463,-11.281173370635926,C7.3,2302111055,2023-02-11 10:45:59.698,2023-02-11 10:55:47.699,2023-02-11 11:54:11.705,-56.49151525067538,-18.230223432674077,122.60616986389638,-18.230223432674077,M1.5,-31.95131104508061,-0.4227336934827094,0.8654665009960045
2302111055,2023-02-11 10:45:59.698,2023-02-11 10:55:47.699,2023-02-11 11:54:11.705,-56.49151525067538,-18.230223432674077,122.60616986389638,-18.230223432674077,M1.5,2302111207,2023-02-11 11:57:27.705,2023-02-11 12:07:23.707,2023-02-11 13:01:35.612,-40.26742819843645,-11.250677637268664,138.17552643225588,-11.250677637268664,M1.5,-31.95851055794401,-0.4288160015677291,0.8651842567545912
2302222259,2023-02-22 22:52:02.643,2023-02-22 22:59:54.644,2023-02-22 23:31:38.647,-47.92257355694864,25.228561151947343,339.697480092742,25.22856115194734,C2.8,2302230018,2023-02-23 00:09:14.651,2023-02-23 00:18:30.652,2023-02-23 00:23:38.653,-22.76827988193878,18.537286227942847,4.13289432700464,18.53728622794285,C1.6,-32.66523973476603,-1.9516665661930304,0.7868622768927447
2302230128,2023-02-23 01:17:22.658,2023-02-23 01:28:22.660,2023-02-23 01:32:38.660,-46.59242355439517,24.37794361298925,339.6697455467086,24.37794361298925,C1.5,2302230218,2023-02-23 02:11:54.564,2023-02-23 02:18:46.565,2023-02-23 02:30:50.566,-21.78414847902343,18.714952439245423,4.017073682102989,18.71495243924543,C1.9,-32.661705927656214,-1.9636774594927149,0.7861967357478576
2302230240,2023-02-23 02:38:38.567,2023-02-23 02:40:02.567,2023-02-23 02:43:18.568,-21.907615199172252,18.096263192212103,3.699100297453146,18.096263192212103,C1.8,2302230407,2023-02-23 03:29:42.572,2023-02-23 04:07:38.576,2023-02-23 04:36:34.579,-43.58453628171469,24.910644416130168,341.2209814174512,24.910644416130168,C7.9,-32.65837444784654,-1.9745635389991745,0.7855930332586083
2302230407,2023-02-23 03:29:42.572,2023-02-23 04:07:38.576,2023-02-23 04:36:34.579,-43.58453628171469,24.910644416130168,341.2209814174512,24.910644416130168,C7.9,2302230442,2023-02-23 04:40:58.580,2023-02-23 04:42:14.580,2023-02-23 04:54:22.581,-19.866839574788344,18.772732202008573,4.622222796352709,18.772732202008573,C4.4,-32.657289158222625,-1.9780260534229623,0.7854009177917308
2302230612,2023-02-23 05:59:18.588,2023-02-23 06:12:02.590,2023-02-23 06:41:38.593,-19.246109874077888,18.685770305369974,4.4216309596714485,18.685770305369974,M1.5,2302230712,2023-02-23 07:10:22.596,2023-02-23 07:12:50.596,2023-02-23 07:19:02.597,-40.695433195639566,23.834387468255752,342.416222765049,23.83438746825575,C2.2,-32.6524159688646,-1.9931122011742128,0.784563329031618
