FlareID_1,Start_Time_1,Peak_Time_1,End_Time_1,hgs_lon_1,hgs_lat_1,hgc_lon_1,hgc_lat_1,total_counts_1,energy_keV_1,AR_1,FlareID_2,Start_Time_2,Peak_Time_2,End_Time_2,hgs_lon_2,hgs_lat_2,hgc_lon_2,hgc_lat_2,total_counts_2,energy_keV_2,AR_2
2050505,2002-05-05 05:48:12,2002-05-05 05:49:30,2002-05-05 05:52:04,-31.85922009177699,-16.57958071794552,210.116330270884,-16.57958071794552,51438,12-25,9934,2050516,2002-05-05 06:45:56,2002-05-05 06:50:22,2002-05-05 07:07:52,-53.87234916944499,-7.332025503480756,187.57321272353536,-7.332025503480756,387130,12-25,9937
2050516,2002-05-05 06:45:56,2002-05-05 06:50:22,2002-05-05 07:07:52,-53.87234916944499,-7.332025503480756,187.57321272353536,-7.332025503480756,387130,12-25,9937,2050597,2002-05-05 07:38:40,2002-05-05 07:39:22,2002-05-05 07:41:44,-31.60513977281096,-16.396287107705074,209.35633246572465,-16.396287107705074,36041,6-12,9934
2050506,2002-05-05 08:34:08,2002-05-05 08:38:46,2002-05-05 08:59:44,-27.09518802875692,-16.964811770303246,213.357101771616,-16.964811770303243,2928162,12-25,9934,2050599,2002-05-05 09:58:40,2002-05-05 10:00:54,2002-05-05 10:01:04,-54.35064240036223,-9.174578537670117,185.32563199584072,-9.174578537670111,16934,6-12,9937
2050557,2002-05-05 10:51:28,2002-05-05 10:55:26,2002-05-05 11:01:12,-15.636750326352796,-21.207628946826265,223.5548193490833,-21.207628946826265,233744,6-12,9941,2050582,2002-05-05 11:48:12,2002-05-05 11:50:02,2002-05-05 11:54:32,-51.43036301789471,-9.258753663382477,187.240392946834,-9.258753663382477,79694,6-12,9937
2050678,2002-05-06 22:59:12,2002-05-06 22:59:50,2002-05-06 23:04:00,-5.770838432885284,-18.605038190192666,213.5201872279104,-18.605038190192666,66899,6-12,9934,2050679,2002-05-06 23:09:04,2002-05-06 23:17:54,2002-05-06 23:23:04,-32.531557829979704,-9.63269293988068,186.66888519506395,-9.632692939880677,270246,6-12,9937
2050758,2002-05-07 07:24:32,2002-05-07 07:29:06,2002-05-07 07:34:04,1.3699539888606176,-15.498673754923963,216.02164248988603,-15.498673754923969,94982,6-12,9934,2050759,2002-05-07 07:38:56,2002-05-07 07:39:58,2002-05-07 07:43:36,26.97117723843427,-21.03481671584707,241.49066187754104,-21.03481671584707,37574,6-12,9935
2050759,2002-05-07 07:38:56,2002-05-07 07:39:58,2002-05-07 07:43:36,26.97117723843427,-21.03481671584707,241.49066187754104,-21.03481671584707,37574,6-12,9935,2050795,2002-05-07 08:37:04,2002-05-07 08:39:14,2002-05-07 08:46:00,-1.0247760967395152,-20.45399475085591,212.96099602792677,-20.45399475085591,411332,12-25,9934
2050795,2002-05-07 08:37:04,2002-05-07 08:39:14,2002-05-07 08:46:00,-1.0247760967395152,-20.45399475085591,212.96099602792677,-20.45399475085591,411332,12-25,9934,20507105,2002-05-07 09:35:16,2002-05-07 09:36:10,2002-05-07 09:37:16,28.03348286528273,-19.80286810926161,241.48492941253744,-19.80286810926161,23872,6-12,9935
2050776,2002-05-07 16:59:44,2002-05-07 17:00:34,2002-05-07 17:08:40,5.407920103850878,-19.15269886023213,214.77875081219256,-19.15269886023213,128428,6-12,9934,2050777,2002-05-07 18:15:20,2002-05-07 18:19:14,2002-05-07 18:24:44,-40.02726446645181,-9.538767440851544,168.6494823483811,-9.538767440851547,126947,6-12,9943
2050781,2002-05-07 20:08:20,2002-05-07 20:13:06,2002-05-07 20:21:00,35.29473406669899,-19.98049309670467,242.93402427726053,-19.98049309670467,75842,6-12,9935,20507109,2002-05-07 20:30:32,2002-05-07 20:31:26,2002-05-07 20:31:48,3.937302888411482,-18.957627125476822,211.3727737451344,-18.957627125476822,6195,6-12,9934
20507109,2002-05-07 20:30:32,2002-05-07 20:31:26,2002-05-07 20:31:48,3.937302888411482,-18.957627125476822,211.3727737451344,-18.957627125476822,6195,6-12,9934,2050731,2002-05-07 21:25:04,2002-05-07 21:29:38,2002-05-07 21:37:16,-38.51216123582691,-9.40367358411472,168.42263563185716,-9.40367358411472,564862,12-25,9943
2050731,2002-05-07 21:25:04,2002-05-07 21:29:38,2002-05-07 21:37:16,-38.51216123582691,-9.40367358411472,168.42263563185716,-9.40367358411472,564862,12-25,9943,20507110,2002-05-07 21:37:16,2002-05-07 21:38:18,2002-05-07 21:40:48,5.152376956294225,-19.134219292954693,211.97516472999848,-19.134219292954693,19608,6-12,9934
2051019,2002-05-10 22:02:28,2002-05-10 22:06:30,2002-05-10 22:10:08,24.590748730862483,-5.621784998437217,191.51713052847492,-5.621784998437217,81321,6-12,9937,20510109,2002-05-10 22:10:08,2002-05-10 22:11:58,2002-05-10 22:13:32,-27.71384481631526,-2.7808575914765044,139.14213885522167,-2.780857591476504,31103,12-25,9945
20511142,2002-05-11 00:07:16,2002-05-11 00:08:22,2002-05-11 00:20:24,46.67443319662336,-17.49978289003126,212.4548537632908,-17.499782890031263,80932,6-12,9934,2051151,2002-05-11 00:20:24,2002-05-11 00:22:22,2002-05-11 00:27:56,24.189005127955383,-8.996867015242607,189.84883014658257,-8.996867015242607,91331,12-25,9937
2051151,2002-05-11 00:20:24,2002-05-11 00:22:22,2002-05-11 00:27:56,24.189005127955383,-8.996867015242607,189.84883014658257,-8.996867015242607,91331,12-25,9937,20511143,2002-05-11 00:56:52,2002-05-11 00:59:06,2002-05-11 01:00:36,46.99391753513119,-19.42971702402969,212.31889068734824,-19.42971702402969,39083,6-12,9934
20511143,2002-05-11 00:56:52,2002-05-11 00:59:06,2002-05-11 01:00:36,46.99391753513119,-19.42971702402969,212.31889068734824,-19.42971702402969,39083,6-12,9934,2051172,2002-05-11 01:00:36,2002-05-11 01:02:02,2002-05-11 01:07:20,25.60053134984241,-9.022620740072323,190.89122348431292,-9.022620740072323,234056,12-25,9937
20511119,2002-05-11 02:44:52,2002-05-11 02:51:50,2002-05-11 03:07:08,46.21306286232024,-19.58020882133728,210.54633347181263,-19.58020882133728,91349472,25-50,9934,20511145,2002-05-11 03:17:36,2002-05-11 03:19:18,2002-05-11 03:25:16,23.23145737878289,-9.549477255107842,187.26415573100675,-9.549477255107842,161930,6-12,9937
2051110,2002-05-11 04:30:44,2002-05-11 04:38:54,2002-05-11 04:44:52,26.865596794703738,-7.770619696255782,190.226750684867,-7.770619696255782,873839,6-12,9937,2051156,2002-05-11 04:44:52,2002-05-11 04:54:50,2002-05-11 05:03:00,5.032390468574216,-11.536422641869326,168.2637653004507,-11.53642264186933,594158,6-12,9943
2051156,2002-05-11 04:44:52,2002-05-11 04:54:50,2002-05-11 05:03:00,5.032390468574216,-11.536422641869326,168.2637653004507,-11.53642264186933,594158,6-12,9943,20511148,2002-05-11 05:09:36,2002-05-11 05:10:14,2002-05-11 05:11:40,46.69351222077143,-18.61056429919028,209.6977735578345,-18.61056429919028,26793,6-12,9934
